Nama Satuan Pendidikan,NPSN,Bentuk Pendidikan,Status Sekolah,Alamat,Desa,Kecamatan,Lintang,Bujur,PD_L,PD_P,PD_Total,Guru,Tendik
TAAM AL MUCHLISIN,69975416,SPS,Swasta,Kp. Jalantir Rt 02/14 Ds. Selacau,Selacau,Batujajar,-6.915877700000,107.497161000000,18,17,35,1,1
TAAM AL MUHAJIRIN,69891513,KB,Swasta,BLOK SINARJAYA RT. 06 / 16,Batujajar Barat,Batujajar,-6.923800000000,107.495500000000,14,6,20,2,1
TAAM BUSTANUL HIDAYAH,69835983,KB,Swasta,CIPEUNDEUY,Cipeundeuy,Padalarang,-6.855651000000,107.498128000000,9,6,15,0,1
TAAM DAARUL BAROKAH,69975418,SPS,Swasta,Kp. Cihurip Rt 01/12 Ds. Cihurip,Pangauban,Batujajar,-6.899800000000,107.440200000000,6,14,20,3,1
TAAM DAARUL QURAN,69967351,SPS,Swasta,Kp. Campaka Rt 01 Rw 12,Pakuhaji,Ngamprah,-6.820157000000,107.545690000000,9,6,15,1,1
TAAM DARUL HUDA,69968675,SPS,Swasta,Kp. Ciburial Rt 04 Rw 09 Ds. Margajaya,Margajaya,Ngamprah,-6.849079000000,107.504267000000,5,10,15,2,1
TAAM NURUL HUDA AL MUSRI,69975419,SPS,Swasta,Kp. Cikawung 03/02 Ds. Baranangsiang,Baranangsiang,Cipongkor,-6.935786600000,107.359791500000,30,31,61,4,2
TAAM NURUL UKHUWAH,69984034,SPS,Swasta,KP. KARYAWANGI RT 03 RW 06,Karyawangi,Parongpong,-6.730064700000,107.578072300000,30,28,58,4,1
TAAM Nurul Wasilah,69961859,SPS,Swasta,Kp. Tanjungwangi Rt/Rw 01/08 Ds. Cicangkanggirang Kec. Sindangkerta Kab. Bandung,Cicangkang Girang,Sindangkerta,-7.003088000000,107.374299000000,23,13,36,1,1
TK ABDI AL BARRY,70062670,TK,Swasta,Kp. Pasirpogor Rt. 003 Rw. 001,Puncaksari,Sindangkerta,.000000000000,.000000000000,0,0,0,0,1
TK AD DAHLANIYAH,70055620,TK,Swasta,Kp. Cimanggu RT. 002 RW. 013,Sukaresmi,Rongga,.000000000000,.000000000000,1,0,1,1,1
TK ADZIKRA,69971744,TK,Swasta,PERUM PESONA PRIMA CITAPEN BLOK B1 NO.48 RT 01 RW 08,Citapen,Cihampelas,-6.932000000000,107.491300000000,22,18,40,2,2
TK AL AMIN,20267547,TK,Swasta,JL. SOMAWINATA NO. 05 RT.03/07,Tanimulya,Ngamprah,-6.836715700000,107.529658800000,21,14,35,2,1
TK AL AZHAR SYIFA BUDI PARAHYANGAN,20267428,TK,Swasta,Jl. Raya Cimareme No.340,Cimareme,Ngamprah,-6.860043000000,107.500094000000,46,53,99,7,1
TK AL BAROKAH,69872170,TK,Swasta,JL.NYAMPAY NO.5,Karyawangi,Parongpong,-6.781780000000,107.593817000000,14,14,28,2,1
TK AL BAROKAH,69891453,TK,Swasta,Kp. Pasirnangka RT.04 RW.04,Cikadu,Sindangkerta,-7.037093700000,107.419178800000,13,26,39,1,1
TK AL FALAH PERMATA,20267425,TK,Swasta,JL ZAMRUD 11 RT.03 RW.13,Tanimulya,Ngamprah,-6.862600000000,107.515700000000,51,40,91,8,2
TK AL INAYAH,20267431,TK,Swasta,JL. MARIBAYA TIMUR No.222 RT.01 RW.03,Cibodas,Lembang,-6.825100000000,107.674100000000,20,14,34,1,1
TK AL IRSYAD SATYA,20267433,TK,Swasta,"Jl. Raya Parahyangan KM 2,7 Kota Baru Parahyangan",Padalarang,Padalarang,-6.865140000000,107.477446000000,96,76,172,20,1
TK AL KHOIRIYAH,70060400,TK,Swasta,Jl. H. Gopur Kp. Cibuntu RT. 004 RW. 009,Cilame,Ngamprah,.000000000000,.000000000000,0,0,0,3,1
TK AL KHOSIM,69975585,TK,Swasta,Kp. Peusinghilir RT.001 RW.004,Sindangkerta,Sindangkerta,-6.979000000000,107.416200000000,11,8,19,3,2
TK AL MUAWANAH,69975583,TK,Swasta,Kp. Babakanjati RT.01 RW.07,Cicangkang Girang,Sindangkerta,-5.443757000000,114.421127000000,20,22,42,5,1
TK AL MUHAB,69946489,TK,Swasta,Kp. Sindangkerta Rt.05 Rw.02 Ds. Cintakarya Kec. Sindangkerta Kab. Bandung Barat,Sindangkerta,Sindangkerta,-6.981300000000,107.404400000000,19,38,57,4,1
TK AL MUJTAHIDIN,70063994,TK,Swasta,Cidadap,Padalarang,Padalarang,-6.840818096822,107.465574480593,0,0,0,1,0
